No,Name,city,review_url
72,ホテルラフォーレ修善寺　山紫水明,静岡県,https://travel.rakuten.co.jp/HOTEL/145483/145483.html,https://review.travel.rakuten.co.jp/hotel/voice/145483/17755477
73,料理旅館なごや花亭美よし,愛知県,https://travel.rakuten.co.jp/HOTEL/14573/14573.html,https://review.travel.rakuten.co.jp/hotel/voice/14573/20188613
74,ホテル・ラ・ジェント・プラザ函館北斗,北海道,https://travel.rakuten.co.jp/HOTEL/160793/160793.html,https://review.travel.rakuten.co.jp/hotel/voice/160793/15338312
75,箱根風雅,神奈川県,https://travel.rakuten.co.jp/HOTEL/162753/162753.html,https://review.travel.rakuten.co.jp/hotel/voice/162753/20232251
76,石和名湯館　糸柳,山梨県,https://travel.rakuten.co.jp/HOTEL/16390/16390.html,https://review.travel.rakuten.co.jp/hotel/voice/16390/18240119
77,ホテル　グランビュー高崎,群馬県,https://travel.rakuten.co.jp/HOTEL/165867/165867.html,https://review.travel.rakuten.co.jp/hotel/voice/165867/20225230
78,センチュリーマリーナ函館,北海道,https://travel.rakuten.co.jp/HOTEL/168681/168681.html,https://review.travel.rakuten.co.jp/hotel/voice/168681/19726443
79,皆生游月,鳥取県,https://travel.rakuten.co.jp/HOTEL/168732/168732.html,https://review.travel.rakuten.co.jp/hotel/voice/168732/17409572
80,ＲＥＸ　ＨＯＴＥＬ　別府,大分県,https://travel.rakuten.co.jp/HOTEL/168759/168759.html,https://review.travel.rakuten.co.jp/hotel/voice/168759/16200289
81,"永平寺　親禅の宿　柏樹關
サステナブルトラベル",福井県,https://travel.rakuten.co.jp/HOTEL/173065/173065.html,https://review.travel.rakuten.co.jp/hotel/voice/173065/20791814
82,"道後温泉　ホテル古湧園　遥
サステナブルトラベル",愛媛県,https://travel.rakuten.co.jp/HOTEL/176808/176808.html,https://review.travel.rakuten.co.jp/hotel/voice/176808/16727483
83,"ホテルプリヴェ静岡
サステナブルトラベル",静岡県,https://travel.rakuten.co.jp/HOTEL/17888/17888.html,https://review.travel.rakuten.co.jp/hotel/voice/17888/19588066
84,Ｔｈｅ　Ｖｉｌｌａｇｅ由布院　温泉グランピング,大分県,https://travel.rakuten.co.jp/HOTEL/180797/180797.html,https://review.travel.rakuten.co.jp/hotel/voice/180797/20286141
85,ｈｏｔｅｌ　ａｒｏｕｎｄ　ＴＡＫＡＹＡＭＡ，　Ａｓｃｅｎｄ　Ｈｏｔｅｌ　Ｃｏｌｌｅｃｔｉｏｎ,岐阜県,https://travel.rakuten.co.jp/HOTEL/182196/182196.html,https://review.travel.rakuten.co.jp/hotel/voice/182196/19323756
86,十勝川モール温泉　清寂房,北海道,https://travel.rakuten.co.jp/HOTEL/184142/184142.html,https://review.travel.rakuten.co.jp/hotel/voice/184142/20617861
87,由布院温泉グランピング　風の響き,大分県,https://travel.rakuten.co.jp/HOTEL/187285/187285.html,https://review.travel.rakuten.co.jp/hotel/voice/187285/20841452
88,鴨川グランドホテル,千葉県,https://travel.rakuten.co.jp/HOTEL/19151/19151.html,https://review.travel.rakuten.co.jp/hotel/voice/19151/17614231
89,"小川温泉元湯　ホテルおがわ
サステナブルトラベル",富山県,https://travel.rakuten.co.jp/HOTEL/1971/1971.html,https://review.travel.rakuten.co.jp/hotel/voice/1971/20468230
90,ナチュラルファームシティ農園ホテル　＜秩父の街並みを眼下に望むロケーション＞,埼玉県,https://travel.rakuten.co.jp/HOTEL/2636/2636.html,https://review.travel.rakuten.co.jp/hotel/voice/2636/20760065
91,美ヶ原温泉　湯宿　和泉屋善兵衛,長野県,https://travel.rakuten.co.jp/HOTEL/28920/28920.html,https://review.travel.rakuten.co.jp/hotel/voice/28920/14954898
92,箱根湯本温泉　ホテル南風荘,神奈川県,https://travel.rakuten.co.jp/HOTEL/30888/30888.html,https://review.travel.rakuten.co.jp/hotel/voice/30888/17042608
93,和みのリゾート　ホテル角神,新潟県,https://travel.rakuten.co.jp/HOTEL/31993/31993.html,https://review.travel.rakuten.co.jp/hotel/voice/31993/14701365
94,塩原温泉　奥塩原高原ホテル,栃木県,https://travel.rakuten.co.jp/HOTEL/32030/32030.html,https://review.travel.rakuten.co.jp/hotel/voice/32030/21073459
95,昼神温泉　ユルイの宿　恵山,長野県,https://travel.rakuten.co.jp/HOTEL/37440/37440.html,https://review.travel.rakuten.co.jp/hotel/voice/37440/19470233
96,香落渓温泉　名香の湯　展望露天風呂　青蓮寺レークホテル,三重県,https://travel.rakuten.co.jp/HOTEL/37451/37451.html,https://review.travel.rakuten.co.jp/hotel/voice/37451/16900729
97,箱根強羅温泉　楽々花（ららか）,神奈川県,https://travel.rakuten.co.jp/HOTEL/38364/38364.html,https://review.travel.rakuten.co.jp/hotel/voice/38364/19917168
97,昼神温泉　おとぎ亭　光風,長野県,https://travel.rakuten.co.jp/HOTEL/4655/4655.html,https://review.travel.rakuten.co.jp/hotel/voice/4655/17413931
98,宝泉寺観光ホテル　湯本屋,大分県,https://travel.rakuten.co.jp/HOTEL/4984/4984.html,https://review.travel.rakuten.co.jp/hotel/voice/4984/20780107
99,湯西川温泉　本家伴久　平家伝承かずら橋の宿,栃木県,https://travel.rakuten.co.jp/HOTEL/50216/50216.html,https://review.travel.rakuten.co.jp/hotel/voice/50216/19165123
100,伊勢志摩国立公園　賢島の宿　みち潮,三重県,https://travel.rakuten.co.jp/HOTEL/5129/5129.html,https://review.travel.rakuten.co.jp/hotel/voice/5129/16037145
101,太良嶽温泉ホテル　蟹御殿,佐賀県,https://travel.rakuten.co.jp/HOTEL/53097/53097.html,https://review.travel.rakuten.co.jp/hotel/voice/53097/20750750
102,海の湯宿　花しぶき,千葉県,https://travel.rakuten.co.jp/HOTEL/54149/54149.html,https://review.travel.rakuten.co.jp/hotel/voice/54149/17850774
103,別府温泉　杉乃井ホテル（ＯＲＩＸＨＯＴＥＬＳ＆ＲＥＳＯＲＴＳ）,大分県,https://travel.rakuten.co.jp/HOTEL/5547/5547.html,https://review.travel.rakuten.co.jp/hotel/voice/5547/18576012
104,皆生松月,鳥取県,https://travel.rakuten.co.jp/HOTEL/5666/5666.html,https://review.travel.rakuten.co.jp/hotel/voice/5666/18821676
105,セントラルホテル伊万里,佐賀県,https://travel.rakuten.co.jp/HOTEL/68081/68081.html,https://review.travel.rakuten.co.jp/hotel/voice/68081/19891923
106,いそざき温泉　ホテルニュー白亜紀,茨城県,https://travel.rakuten.co.jp/HOTEL/68487/68487.html,https://review.travel.rakuten.co.jp/hotel/voice/68487/20177988
107,穂高温泉郷　安曇野穂高ビューホテル,長野県,https://travel.rakuten.co.jp/HOTEL/7149/7149.html,https://review.travel.rakuten.co.jp/hotel/voice/7149/14147524
108,糸柳別館　離れの邸　和穣苑,山梨県,https://travel.rakuten.co.jp/HOTEL/72019/72019.html,https://review.travel.rakuten.co.jp/hotel/voice/72019/20882080
109,飛騨花里の湯　高山桜庵（共立リゾート）,岐阜県,https://travel.rakuten.co.jp/HOTEL/76847/76847.html,https://review.travel.rakuten.co.jp/hotel/voice/76847/7109569
110,奥日光湯元温泉　奥日光高原ホテル,栃木県,https://travel.rakuten.co.jp/HOTEL/8337/8337.html,https://review.travel.rakuten.co.jp/hotel/voice/8337/20744326
111,鬼怒川温泉　あさや,栃木県,https://travel.rakuten.co.jp/HOTEL/8643/8643.html,https://review.travel.rakuten.co.jp/hotel/voice/8643/17231092
112,金沢白鳥路　ホテル山楽,石川県,https://travel.rakuten.co.jp/HOTEL/9004/9004.html,https://review.travel.rakuten.co.jp/hotel/voice/9004/20180340
113,白浜温泉　家族とすごす白浜の宿　柳屋,和歌山県,https://travel.rakuten.co.jp/HOTEL/9133/9133.html,https://review.travel.rakuten.co.jp/hotel/voice/9133/19607058
114,伊豆長岡温泉　小松家八の坊,静岡県,https://travel.rakuten.co.jp/HOTEL/9682/9682.html,https://review.travel.rakuten.co.jp/hotel/voice/9682/15478246
115,草津温泉　中村屋旅館＜群馬県＞,群馬県,https://travel.rakuten.co.jp/HOTEL/31675/31675.html,https://review.travel.rakuten.co.jp/hotel/voice/31675/19057800
116,草津温泉　中村屋旅館＜群馬県＞,群馬県,https://travel.rakuten.co.jp/HOTEL/31675/31675.html,https://review.travel.rakuten.co.jp/hotel/voice/31675/18642515
117,草津温泉　中村屋旅館＜群馬県＞,群馬県,https://travel.rakuten.co.jp/HOTEL/31675/31675.html,https://review.travel.rakuten.co.jp/hotel/voice/31675/18403435
118,矢指ヶ浦温泉館,千葉県,https://travel.rakuten.co.jp/HOTEL/50177/50177.html,https://review.travel.rakuten.co.jp/hotel/voice/50177/20090492
119,矢指ヶ浦温泉館,千葉県,https://travel.rakuten.co.jp/HOTEL/50177/50177.html,https://review.travel.rakuten.co.jp/hotel/voice/50177/19981244
120,矢指ヶ浦温泉館,千葉県,https://travel.rakuten.co.jp/HOTEL/50177/50177.html,https://review.travel.rakuten.co.jp/hotel/voice/50177/19169504
121,川湯温泉　温泉民宿　大村屋,和歌山県,https://travel.rakuten.co.jp/HOTEL/14567/14567.html,https://review.travel.rakuten.co.jp/hotel/voice/14567/20701370
122,川湯温泉　温泉民宿　大村屋,和歌山県,https://travel.rakuten.co.jp/HOTEL/14567/14567.html,https://review.travel.rakuten.co.jp/hotel/voice/14567/20609186
